,League,Avg_G_Scored_Home_Teams_HT,Avg_G_Conceded_Home_Teams_HT,Avg_G_Scored_Away_Teams_HT,Avg_G_Conceded_Away_Teams_HT,Win_Home_Teams_HT_perc,Draw_HT_perc,Win_Away_Teams_HT_perc,Avg_G_Scored_Home_Teams,Avg_G_Conceded_Home_Teams,Avg_G_Scored_Away_Teams,Avg_G_Conceded_Away_Teams,Win_Home_Teams_perc,Draw_perc,Win_Away_Teams_perc
0,Algeria Ligue 1,0.58,0.34,0.34,0.58,34.88,49.53,15.59,1.36,0.84,0.84,1.36,51.35,27.61,21.04
1,Argentina Primera División,0.56,0.41,0.41,0.56,31.04,49.16,19.79,1.26,0.92,0.92,1.26,43.85,31.28,24.87
2,Australia A-League,0.75,0.61,0.61,0.75,36.36,36.36,27.29,1.67,1.43,1.43,1.67,42.97,23.8,33.24
3,Australia New South Wales NPL,0.78,0.67,0.67,0.78,33.28,38.77,27.95,1.72,1.49,1.49,1.72,43.94,19.87,36.19
4,Austria 2. Liga,0.72,0.64,0.64,0.72,31.58,38.67,29.74,1.64,1.43,1.43,1.64,42.48,22.65,34.87
5,Austria Bundesliga,0.68,0.59,0.59,0.68,32.15,40.06,27.79,1.55,1.39,1.39,1.55,38.78,26.66,34.56
6,Belarus Vysheyshaya Liga,0.59,0.53,0.53,0.59,30.14,43.89,25.97,1.41,1.24,1.24,1.41,41.15,25.44,33.41
7,Belgium First Division B,0.67,0.58,0.58,0.67,33.23,38.86,27.91,1.5,1.36,1.36,1.5,41.37,23.39,35.24
8,Belgium Pro League,0.69,0.58,0.58,0.69,34.23,38.8,26.96,1.58,1.32,1.32,1.58,43.66,23.97,32.37
9,Bosnia and Herzegovina Premier League of Bosnia,0.64,0.44,0.44,0.64,32.14,47.14,20.71,1.53,1.07,1.07,1.53,50.71,21.43,27.86
10,Brazil Serie A,0.64,0.42,0.42,0.64,34.47,45.51,20.02,1.39,0.98,0.98,1.39,47.16,27.53,25.31
11,Brazil Serie B,0.58,0.4,0.4,0.58,31.95,48.67,19.37,1.25,0.87,0.87,1.25,46.1,29.79,24.11
12,Brazil Serie C,0.59,0.38,0.38,0.59,32.44,49.71,17.85,1.35,0.89,0.89,1.35,47.31,30.77,21.92
13,Bulgaria First League,0.64,0.46,0.46,0.64,34.45,43.36,22.2,1.38,1.05,1.05,1.38,46.27,24.26,29.47
14,Canada Canadian Premier League,0.55,0.55,0.55,0.55,28.94,44.47,26.59,1.35,1.21,1.21,1.35,44.47,24.24,31.29
15,Chile Primera B,0.61,0.44,0.44,0.61,32.94,46.18,20.87,1.4,1.08,1.08,1.4,43.1,28.94,27.96
16,Chile Primera División,0.64,0.51,0.51,0.64,31.13,45.41,23.46,1.46,1.17,1.17,1.46,44.23,26.45,29.32
17,China China League One,0.62,0.54,0.54,0.62,30.76,43.52,25.72,1.42,1.19,1.19,1.42,42.58,26.37,31.05
18,China Chinese Super League,0.71,0.58,0.58,0.71,35.28,39.03,25.69,1.59,1.3,1.3,1.59,44.72,24.44,30.83
19,Croatia Druga HNL,0.48,0.32,0.32,0.48,25.06,59.86,15.07,1.5,1.07,1.07,1.5,46.57,27.18,26.25
20,Croatia Prva HNL,0.63,0.5,0.5,0.63,31.99,44.16,23.85,1.43,1.15,1.15,1.43,43.75,25.41,30.84
21,Czech Republic FNL,0.72,0.53,0.53,0.72,35.43,41.04,23.53,1.6,1.18,1.18,1.6,46.29,25.14,28.57
22,Czech Republic First League,0.72,0.52,0.52,0.72,36.37,40.01,23.62,1.57,1.17,1.17,1.57,46.09,24.54,29.37
23,Denmark Superliga,0.72,0.57,0.57,0.72,34.43,39.74,25.82,1.53,1.31,1.31,1.53,42.11,26.97,30.92
